scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	16.7	47.6	793.2	673.4	1251.3	721.0	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 0   Stone 1   Food 0   Salvage 1/Signal 2/2   Axe Owned   Rope Owned
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	12.8	42.8	1121.4	43.7	1242.0	86.5	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	12.8	47.6	29.5	39.2	1006.3	86.8	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · Click or arrows+Enter to select · Built facilities move free · F1 language
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	20.8	50.0	557.9	453.0	703.2	503.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	헤엄쳐 수색/식량 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	20.5	50.0	353.1	335.7	498.4	385.7	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	헤엄쳐 수색/표류물 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	15.0	19.1	1067.2	331.9	1175.5	351.0	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. 나무 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.4	18.5	1250.3	332.5	1322.0	351.0	12.1	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.4	18.5	1085.2	258.7	1156.7	277.2	12.1	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.4	18.5	1249.2	258.7	1322.0	277.2	12.1	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.6	18.6	1085.6	184.8	1154.4	203.4	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. 잠김
